Trail Name,Start Lat,Start Lon,Mid Lat,Mid Lon,End Lat,End Lon,Difficulty
Eisfallen,47.43885,-121.4347054,47.4401388,-121.4332485,47.4416191,-121.43121,advanced
Debbie's Gold,47.4356043,-121.434324,47.4412934,-121.4308454,47.4448764,-121.426365,intermediate
Ingrid's Inspiration,47.4355301,-121.4339279,47.4378776,-121.430913,47.4412934,-121.4308454,advanced
Meister,47.4383391,-121.4339458,47.439699,-121.4324631,47.44039,-121.4314179,advanced
Sessel,47.4429336,-121.432355,47.4450834,-121.4278319,47.4451444,-121.4268752,intermediate
Dom,47.4395394,-121.4354243,47.441056,-121.4339008,47.4422706,-121.431549,advanced
Saint Bernard,47.4446665,-121.430568,47.4462062,-121.4316995,47.4457465,-121.4280827,easy
Cascade Traverse,47.4356043,-121.434324,47.4383391,-121.4339458,47.4414015,-121.435701,intermediate
Edelweiss Bowl,47.4389027,-121.44293,47.4352251,-121.4405752,47.4343457,-121.4348289,advanced
Schluct,47.4386795,-121.4419027,47.4378483,-121.4421905,47.4368085,-121.4422761,advanced
Gunmount,47.4375434,-121.4410422,47.435958,-121.4390448,47.4343589,-121.4381637,advanced
Upper Internationale,47.438958,-121.4428781,47.4397574,-121.4435249,47.4414521,-121.4405872,expert
Rollen,47.4382379,-121.4410708,47.4369994,-121.4413261,47.4364135,-121.4414535,advanced
Kante,47.4389663,-121.442804,47.4379236,-121.4401479,47.436293,-121.4379057,advanced
Felsen,47.4418753,-121.441241,47.4421458,-121.4381319,47.4421165,-121.433614,expert
Snake Dance,47.442046,-121.4423371,47.4441688,-121.4388053,47.4429336,-121.432355,expert
Breakover,47.4359944,-121.4391378,47.4364143,-121.4361583,47.4364767,-121.4338385,expert
Shot Six,47.4365558,-121.4356538,47.4373007,-121.4356795,47.4381924,-121.433909,expert
The Fan,47.435958,-121.4390448,47.4356059,-121.4371848,47.4344737,-121.4352,expert
Upper Return Trail,47.4479295,-121.4358227,47.4466737,-121.4337367,47.4461168,-121.4318505,intermediate
High Traverse,47.4401561,-121.4437012,47.4429109,-121.4481477,47.4468338,-121.4489686,freeride
Rock Face,47.4441074,-121.435304,47.4448736,-121.4333729,47.4462668,-121.4320341,expert
What's That Trees,47.4433086,-121.4351665,47.4443372,-121.4329823,47.4459227,-121.4322299,advanced
Brownie Bowl,47.4410408,-121.4451503,47.443946,-121.4428771,47.4449888,-121.4399587,intermediate
Sharon Bowl,47.4418751,-121.4430756,47.44615,-121.4490961,47.4418751,-121.4430756,advanced
Trail_388295191,47.447023,-121.4345926,47.4471987,-121.4321281,47.4468718,-121.4306831,intermediate
Lower Internationale,47.4414015,-121.435701,47.4422292,-121.4326511,47.4423743,-121.4317302,intermediate
Chicken Shot,47.4358915,-121.4302146,47.4363774,-121.4307416,47.4369928,-121.4312587,expert
Pumpkin Patch,47.443055,-121.4311425,47.4434599,-121.4304225,47.4436644,-121.4298216,intermediate
High Traverse,47.4379609,-121.4435658,47.4354701,-121.4427568,47.4338025,-121.4398279,advanced
Powder Bowl,47.4349578,-121.4424454,47.4351656,-121.4412243,47.4352251,-121.4405752,advanced
Hoadleys,47.4339645,-121.4402855,47.4343857,-121.4398031,47.4345808,-121.4395227,advanced
Breakover,47.4363482,-121.43675,47.4357415,-121.436062,47.4350823,-121.4346662,expert
Shot 5,47.4380609,-121.4365688,47.4384631,-121.4355071,47.43885,-121.4347054,expert
Shot 4,47.4393823,-121.4374607,47.4398563,-121.4363423,47.4403231,-121.4356024,expert
Gala,47.4434257,-121.4323367,47.4447983,-121.4321028,47.4461168,-121.4318505,intermediate
Adrenaline,47.4403934,-121.443566,47.4409393,-121.4419183,47.4418753,-121.441241,expert
Lower Return to Lifts,47.4483719,-121.4316809,47.4466723,-121.429857,47.4457465,-121.4280827,intermediate
Edelweiss,47.43844,-121.4433034,47.4380609,-121.4431524,47.4374914,-121.4423952,advanced
Alpental Goat Trail,47.4343457,-121.4348289,47.4342512,-121.4347474,47.4342512,-121.4347474,unknown
Alpental Goat Trail,47.4342512,-121.4347474,47.4341532,-121.4348427,47.4341532,-121.4348427,unknown
Alpental Goat Trail,47.4354912,-121.4344109,47.4346824,-121.4349229,47.4343457,-121.4348289,unknown
Trail_1113194786,47.4356043,-121.434324,47.4354912,-121.4344109,47.4354912,-121.4344109,unknown
Trail_1113194787,47.4457465,-121.4280827,47.4456823,-121.42805,47.4456823,-121.42805,unknown
Upper Snake Dance,47.4403934,-121.443566,47.4424859,-121.4435501,47.4423553,-121.4420408,advanced
Side hits,47.4412746,-121.4322579,47.4414858,-121.4314138,47.4412746,-121.4322579,freeride
Lower Internationale,47.4414521,-121.4405872,47.4412404,-121.4380841,47.4414015,-121.435701,advanced
Homework,47.4370748,-121.4335221,47.4379997,-121.4327165,47.4378765,-121.4316324,freeride
Top Traverse,47.4104795,-121.4223737,47.4079963,-121.4218426,47.4056785,-121.4190744,intermediate
Triple 60,47.4104251,-121.4223307,47.4098224,-121.4210755,47.4098478,-121.419434,advanced
Rip Cord,47.4105412,-121.422379,47.4106102,-121.4206249,47.410298,-121.419611,advanced
Gallery,47.4108498,-121.4196432,47.4105485,-121.4165318,47.409993,-121.413914,easy
Triple 60,47.4098478,-121.419434,47.4095538,-121.4166552,47.4094557,-121.4143163,intermediate
Show Off,47.4090165,-121.4219499,47.4091,-121.420083,47.4092208,-121.4182848,advanced
Holiday,47.4114615,-121.4184925,47.4115032,-121.4164943,47.410759,-121.4132595,easy
Revenge,47.4085554,-121.4218882,47.4085627,-121.4197505,47.4091289,-121.4181313,advanced
Freefall,47.4072339,-121.4215797,47.4072992,-121.4201421,47.4074263,-121.4192837,advanced
Nose Dive,47.4078565,-121.4218131,47.4081125,-121.4196271,47.4084755,-121.4182913,advanced
Alpine,47.4017958,-121.424945,47.4054959,-121.4191999,47.4078765,-121.4124709,intermediate
Lower Crossover,47.3925558,-121.4068148,47.3970831,-121.4085267,47.4009193,-121.407953,intermediate
Central to West Upper Crossover,47.4104251,-121.4223307,47.4131276,-121.4226592,47.4164692,-121.4219177,intermediate
West to Central Upper Crossover,47.4157276,-121.4235374,47.4147272,-121.4225827,47.4119484,-121.4212602,advanced
Parachute,47.4115607,-121.4226274,47.4118436,-121.420563,47.4116122,-121.4183718,advanced
Golden Nugget,47.401568,-121.4246937,47.4022625,-121.4195897,47.4066163,-121.4131912,intermediate
Silver Nugget,47.4000585,-121.4229315,47.4009685,-121.4200471,47.4008943,-121.4181465,advanced
Hogwild,47.3995373,-121.4231393,47.4003232,-121.4199616,47.4008943,-121.4181465,advanced
Silver Fir,47.3991619,-121.4232038,47.3994481,-121.4217668,47.3999251,-121.4179165,advanced
Silver Fir,47.3999251,-121.4179165,47.4007281,-121.411691,47.4009493,-121.4078121,intermediate
Inspiration,47.3985866,-121.4232155,47.3981386,-121.4206044,47.3980453,-121.4195071,advanced
Inspiration,47.3980453,-121.4195071,47.3986315,-121.4164273,47.400421,-121.4137528,intermediate
Outback,47.3985866,-121.4232155,47.3969127,-121.4171028,47.4009239,-121.4087046,advanced
Sunrise,47.4027003,-121.4168376,47.4032939,-121.4143631,47.4045956,-121.4121867,easy
Sunrise,47.4016997,-121.4178776,47.4018015,-121.415658,47.4026559,-121.4107751,easy
Trail_399151906,47.4003999,-121.4194093,47.4001666,-121.4183986,47.3999251,-121.4179165,intermediate
Trail_399151909,47.4008943,-121.4181465,47.4014997,-121.4137559,47.4008922,-121.4101904,intermediate
Broadway,47.4058033,-121.4200564,47.4078438,-121.418801,47.4091895,-121.4163093,easy
Trail_399151911,47.4045924,-121.4237691,47.4058349,-121.4223604,47.4066167,-121.4214188,intermediate
Wayback,47.3966355,-121.4176116,47.3986315,-121.4164273,47.3986315,-121.4164273,intermediate
East Crossover,47.3969631,-121.4216696,47.3949739,-121.4211559,47.3925797,-121.4076746,intermediate
Wayback,47.3993676,-121.4155166,47.4014379,-121.4148978,47.4019658,-121.4147427,intermediate
Trail_464464856,47.4067044,-121.4214499,47.4067766,-121.4203689,47.4067716,-121.4197426,freeride
Trail_464791459,47.4008943,-121.4181465,47.4011505,-121.4176516,47.4015062,-121.4170405,easy
Bonanza,47.4020457,-121.4250789,47.4025395,-121.4197456,47.4074944,-121.4125825,intermediate
Trail_914241900,47.4009312,-121.4192115,47.4005849,-121.4186476,47.4001666,-121.4183986,unknown
Trail_914241901,47.4018517,-121.4210453,47.4013575,-121.4202445,47.4010208,-121.4196661,unknown
Golden Nugget,47.4017958,-121.424945,47.4016748,-121.4248292,47.401568,-121.4246937,intermediate
Trail_914241903,47.401859,-121.42476,47.4017958,-121.424945,47.4017958,-121.424945,unknown
Tanner's Pass,47.4000645,-121.4166202,47.4008383,-121.4165479,47.4013287,-121.4160052,intermediate
Trail_914241905,47.3991481,-121.4233285,47.3985866,-121.4232155,47.3985866,-121.4232155,intermediate
Mountaineers,47.4139512,-121.4225991,47.4141787,-121.4199454,47.4165829,-121.4183196,advanced
West to Central Lower Crossover,47.4163802,-121.419773,47.4141949,-121.4183729,47.4122419,-121.4172624,intermediate
Short Cut,47.4058786,-121.4188153,47.4077534,-121.4175208,47.4091895,-121.4163093,easy
Bonanza Face,47.4035698,-121.4208314,47.4043174,-121.4185065,47.4043174,-121.4185065,advanced
Wildcat,47.3994481,-121.4217668,47.3990229,-121.4181761,47.398533,-121.4166103,advanced
Tanner's Pass,47.3966345,-121.4206036,47.3991242,-121.4189507,47.4000645,-121.4166202,intermediate
Silver Nugget Bowl,47.400792,-121.4212305,47.401302,-121.4209848,47.4013575,-121.4202445,advanced
Chicken Nugget,47.4006817,-121.4236156,47.4022867,-121.4224556,47.4018596,-121.4224574,intermediate
Nugget Trail,47.4001848,-121.4226125,47.4004393,-121.4222121,47.4004191,-121.4219722,intermediate
nugget connector.,47.4025508,-121.419204,47.4024544,-121.4189027,47.4024544,-121.4189027,advanced
Revelation,47.3835175,-121.4070475,47.3822462,-121.4086568,47.3811274,-121.4106202,intermediate
Milwaukee Ridge,47.3844182,-121.4051056,47.3864563,-121.4099227,47.3881761,-121.411744,easy
Hyak Face,47.385043,-121.4063823,47.3879994,-121.4025414,47.3900986,-121.3972628,advanced
Kendall,47.3892072,-121.412484,47.3911118,-121.410985,47.3923829,-121.4093113,intermediate
Eclipse,47.3833867,-121.4047623,47.3818612,-121.4073694,47.3811292,-121.4105822,advanced
Hidden Valley,47.3835538,-121.4049661,47.3828709,-121.4068651,47.381803,-121.4091611,advanced
Cutoff,47.3904763,-121.4131522,47.391268,-121.4117253,47.3921613,-121.4114571,easy
Lower Crossover,47.3925558,-121.4068148,47.3970831,-121.4085267,47.4009193,-121.407953,intermediate
Solitude,47.384268,-121.4055818,47.3850574,-121.4102948,47.3811456,-121.4106319,easy
Trail_395201834,47.3888419,-121.4093567,47.3898612,-121.4098196,47.3901008,-121.4098355,intermediate
Roz's,47.3868264,-121.4070047,47.3883627,-121.4032174,47.3896447,-121.4003742,advanced
Trail_395201836,47.3864472,-121.407234,47.3862017,-121.4078308,47.3861035,-121.4094508,easy
Blowdown,47.3876326,-121.407246,47.3895247,-121.4061677,47.3909088,-121.4053533,advanced
Chickamin,47.3881761,-121.411744,47.3897845,-121.4102233,47.3924773,-121.4078146,intermediate
Sissy's,47.3862807,-121.4069684,47.3876326,-121.407246,47.3884975,-121.4095718,intermediate
East Peak,47.3843165,-121.4049809,47.3853337,-121.40333,47.3897595,-121.3969236,advanced
Trail_395201843,47.385043,-121.4063823,47.3855821,-121.406774,47.3862807,-121.4069684,easy
Trail_402056024,47.390926,-121.4035437,47.3902656,-121.4027238,47.3900622,-121.4015329,easy
Creek Run,47.3900622,-121.4015329,47.3902184,-121.399253,47.3902002,-121.3970053,easy
East Crossover,47.3969631,-121.4216696,47.3949739,-121.4211559,47.3925797,-121.4076746,intermediate
Trail_464211804,47.3839726,-121.4111205,47.3834605,-121.4107861,47.3819967,-121.4102992,unknown
Revelation,47.3836627,-121.4048266,47.3835175,-121.4070475,47.3811274,-121.4106202,intermediate
Trail_464217032,47.3861035,-121.4094508,47.385715,-121.4097942,47.3853494,-121.4098696,easy
Norm's,47.3862807,-121.4069684,47.3866811,-121.4049408,47.3879994,-121.4025414,advanced
Blowdown,47.3899024,-121.4058888,47.3910326,-121.4041375,47.390926,-121.4035437,advanced
Blowdown,47.3921338,-121.4049958,47.3934725,-121.4043722,47.3941806,-121.4042273,intermediate
Milwaukee Ridge,47.3881761,-121.411744,47.3884425,-121.4120686,47.3892072,-121.412484,easy
Milwaukee Ridge,47.3894884,-121.4125836,47.3904763,-121.4131522,47.3908394,-121.4138174,easy
Milwaukee Ridge,47.3892072,-121.412484,47.3892634,-121.4125255,47.3894884,-121.4125836,easy
Blowdown,47.3909088,-121.4053533,47.3914715,-121.4052197,47.3921338,-121.4049958,advanced
Sarrah's Run,47.3869173,-121.4105458,47.3893596,-121.409135,47.3925392,-121.4072315,intermediate
Sarrah's Run,47.3925392,-121.4072315,47.3936732,-121.4061823,47.3941945,-121.4043253,easy
Dino's Revenge,47.3858878,-121.4026047,47.3878936,-121.4005756,47.3888125,-121.3985964,advanced
Eclipse Bowl Traverse,47.3818638,-121.4062302,47.3810557,-121.4062823,47.3808864,-121.4065515,advanced
Eclipse Bowl,47.3810433,-121.4065567,47.381688,-121.4082853,47.3810433,-121.4065567,advanced
Dino's Revenge,47.3846302,-121.4051296,47.3860112,-121.4036932,47.3863239,-121.4024584,advanced
Dino's Revenge.,47.3853977,-121.40343,47.3858142,-121.4031736,47.3860795,-121.4032294,advanced
Sarrah's Run,47.3898624,-121.4088318,47.3908932,-121.4058775,47.391301,-121.403652,intermediate
Julie's,47.4240866,-121.4234118,47.4253436,-121.4205444,47.4253073,-121.4180231,easy
Little Thunder,47.4190196,-121.4200563,47.4202115,-121.4184523,47.4223493,-121.4163387,easy
Dodge Ridge,47.4204607,-121.4260971,47.4210173,-121.4212096,47.423224,-121.4168054,intermediate
Big Bill,47.4215012,-121.4268212,47.422019,-121.4228082,47.4241423,-121.4166015,intermediate
360 Bowl Access,47.4215012,-121.4268212,47.4220481,-121.4265686,47.4214973,-121.4248542,intermediate
Beaver Lake,47.416685,-121.4239813,47.4176478,-121.4242652,47.4194638,-121.423189,advanced
Main Chute,47.4156978,-121.4236166,47.4170318,-121.4236343,47.4187378,-121.4223415,advanced
Wildside,47.4169932,-121.4202472,47.4178767,-121.4185446,47.4190236,-121.4176143,intermediate
Thunderbolt,47.4158376,-121.4236021,47.4170683,-121.4221658,47.4176925,-121.4208984,advanced
Wildside,47.4159392,-121.4235324,47.4164692,-121.4219177,47.4169932,-121.4202472,advanced
Central to West Upper Crossover,47.4104251,-121.4223307,47.4131276,-121.4226592,47.4164692,-121.4219177,intermediate
West to Central Upper Crossover,47.4157276,-121.4235374,47.4147272,-121.4225827,47.4119484,-121.4212602,advanced
Trail_399150127,47.4220045,-121.4268476,47.4218099,-121.4265344,47.4214327,-121.4262645,intermediate
Inter-Summit 90,47.4210862,-121.4271158,47.418889,-121.4225106,47.4171237,-121.4199736,intermediate
Julie's,47.4238319,-121.4230391,47.4246818,-121.4195816,47.4246237,-121.4172427,intermediate
360 Bowl,47.4221461,-121.4261234,47.422842,-121.4244638,47.4231623,-121.4226204,advanced
360 Bowl,47.4221461,-121.4261234,47.4233545,-121.422465,47.4221461,-121.4261234,advanced
Mountaineers,47.4139512,-121.4225991,47.4141787,-121.4199454,47.4165829,-121.4183196,advanced
West to Central Lower Crossover,47.4163802,-121.419773,47.4141949,-121.4183729,47.4122419,-121.4172624,intermediate
Thunderbolt,47.4176925,-121.4208984,47.418462,-121.4198757,47.4193781,-121.4191047,intermediate
Thunderbird,47.4170318,-121.4236343,47.4176686,-121.422658,47.4184906,-121.4217394,advanced
Thunderbird,47.4184906,-121.4217394,47.4186182,-121.4211487,47.4190196,-121.4200563,intermediate
Freeriders,47.4220517,-121.4263648,47.4233326,-121.4253834,47.4240866,-121.4234118,freeride
Beaver Lake,47.4178336,-121.4247035,47.4173647,-121.4235275,47.4178336,-121.4247035,advanced
Wildside Cat Track,47.4159508,-121.4235777,47.4160232,-121.4220706,47.417992,-121.4211495,advanced
